# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
5.100000000000000000e+02,4.460903613183424266e-02,9.916374066858469893e-01,3.281875228997735983e-01,9.924609014433291021e-01,2.051545612091143500e-03,1.043481150256538904e-02,7.601886242708415405e-03,1.041274263011771235e-02
5.120000000000000000e+02,4.772400782293317184e-02,9.900112355805072983e-01,2.990585040316297016e-01,9.909535064956742634e-01,2.120812920972338454e-03,1.056094336664891754e-02,7.347692517619824025e-03,1.038960316856760158e-02
5.140000000000000000e+02,5.162111526991289973e-02,9.864265400317934196e-01,2.706945957699667948e-01,9.874307264865407330e-01,2.205539404642866807e-03,1.030695644077250610e-02,6.910768060772590378e-03,1.035766659471683802e-02
5.160000000000000000e+02,5.642774163694074668e-02,9.868927737430297498e-01,2.455273565562859639e-01,9.876533417083540600e-01,2.257674503042316014e-03,1.036127905755492712e-02,6.580111826635176575e-03,1.045183156615379395e-02
5.180000000000000000e+02,6.241117917046420938e-02,9.917703662701488065e-01,2.244659328647854168e-01,9.928267512863195865e-01,2.416229503759793201e-03,1.026291311254900855e-02,6.283953848244381961e-03,1.030579110923666650e-02
5.200000000000000000e+02,6.901114723144190222e-02,9.970510256902996860e-01,2.058654105219613339e-01,9.980145265360129692e-01,2.570342190754316622e-03,1.040808095870126432e-02,5.962649936417166452e-03,1.032529830957928073e-02
5.220000000000000000e+02,7.532033577129586266e-02,9.969463031365666250e-01,1.880317143420329185e-01,9.980113672792099155e-01,2.721847144744542635e-03,1.034733590268640396e-02,5.634586435076010397e-03,1.026293084429061656e-02
5.240000000000000000e+02,8.102290802434948536e-02,9.990925621535103884e-01,1.737458564471926203e-01,1.000000000000000000e+00,2.816932353241948569e-03,1.033484397042438996e-02,5.277657036044783312e-03,1.024956835899327491e-02
5.260000000000000000e+02,8.502675937372963788e-02,9.949481122808513378e-01,1.612987706190549264e-01,9.958933345000449133e-01,2.914861518375500005e-03,1.026528278098956352e-02,5.002582215312969920e-03,1.024839551850436140e-02
5.280000000000000000e+02,8.674434359651218840e-02,9.884492534849798062e-01,1.503493028344339566e-01,9.891312109135860231e-01,2.958658413230689545e-03,1.024596884332324397e-02,4.701649885684021368e-03,1.006575757502294749e-02
5.300000000000000000e+02,8.525338983116170777e-02,9.747359408592145558e-01,1.397095308761278354e-01,9.754932105625853112e-01,2.938638583717063327e-03,1.018826906486081790e-02,4.443872923913283306e-03,1.005311468597481009e-02
5.320000000000000000e+02,8.233144057106395186e-02,9.693152224808054829e-01,1.318823227328466408e-01,9.702436088403609826e-01,2.893315139068379244e-03,1.020519217551048470e-02,4.255467991624944241e-03,1.010427454274036990e-02
5.340000000000000000e+02,7.790666455326547557e-02,9.660981419647750590e-01,1.253509867933349509e-01,9.667449833869019571e-01,2.819617353819994093e-03,1.025799778561252602e-02,4.050714480259736024e-03,1.025600862496755909e-02
5.360000000000000000e+02,7.290408694693643887e-02,9.681790459637616975e-01,1.200775967570944514e-01,9.689107288891529723e-01,2.781333498931106481e-03,1.023410973889454963e-02,3.827037227562558788e-03,1.018191345689280040e-02
5.380000000000000000e+02,6.677681601111473686e-02,9.619573401187795358e-01,1.138284095616276109e-01,9.628449313701554768e-01,2.625133425970571296e-03,1.040350868422187242e-02,3.707728542750315590e-03,1.032626510228318827e-02
5.400000000000000000e+02,6.063006558988847522e-02,9.529438619478518557e-01,1.075168072440286920e-01,9.536984869014004662e-01,2.486220023734875967e-03,1.051145126542445997e-02,3.535096191882706931e-03,1.043918417570595565e-02
5.420000000000000000e+02,5.505400620474535517e-02,9.385373447508047473e-01,1.007484879496960695e-01,9.390577666952668601e-01,2.337037274221998116e-03,1.054242120020769738e-02,3.338269992321766470e-03,1.050084236270205570e-02
5.440000000000000000e+02,5.087052290255482390e-02,9.305139722862592055e-01,9.455667905876397050e-02,9.313315105570396657e-01,2.262249685845621645e-03,1.064571627212268327e-02,3.155696809934213816e-03,1.058089317204340650e-02
5.460000000000000000e+02,4.758929333506467518e-02,9.215297938564143143e-01,8.816924239584199297e-02,9.224094970974366925e-01,2.193820100752859152e-03,1.074350300854877774e-02,3.064294167790606888e-03,1.067005384570987765e-02
5.480000000000000000e+02,4.514203151892105803e-02,9.104954486590778329e-01,8.189548265118171133e-02,9.112597032612812509e-01,2.175988440677960930e-03,1.088577486438660827e-02,2.920639369126645964e-03,1.083028188980138078e-02
5.500000000000000000e+02,4.356579597608810361e-02,9.002920142174941631e-01,7.598746934446892753e-02,9.008643557284548020e-01,2.132518814616785399e-03,1.107577950792705719e-02,2.808944937242948033e-03,1.102841696682762412e-02
5.520000000000000000e+02,4.279814855891571346e-02,8.905579036653628044e-01,7.021207254543997134e-02,8.912691043741899355e-01,2.128117984544924436e-03,1.107630614948348913e-02,2.704514594341228453e-03,1.109186007879917231e-02
5.540000000000000000e+02,4.234758110986380775e-02,8.777262091639762565e-01,6.457708343719759103e-02,8.786616547261549837e-01,2.136068505623533141e-03,1.120960595431551125e-02,2.564137691421989294e-03,1.121205672983953579e-02
5.560000000000000000e+02,4.205212749878292633e-02,8.591875613418792357e-01,5.915014807915463385e-02,8.599194681776726190e-01,2.128233586847751158e-03,1.120565067394141065e-02,2.426819109819591987e-03,1.118578138572511038e-02
