# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
6.020000000000000000e+02,7.206553332012449742e-01,3.721626787958781102e-01,2.276867524135280096e-02,3.792269532751570416e-01,3.212132515521040708e-03,3.257078557421981459e-03,4.806949935274340861e-04,3.318964568107031238e-03
6.040000000000000000e+02,7.076037758834543556e-01,3.420024981814780429e-01,2.164883153889047424e-02,3.493445613816281714e-01,3.060819030669321462e-03,3.194858004288667584e-03,4.647723966748126953e-04,3.215813240654914491e-03
6.060000000000000000e+02,6.873587599551784777e-01,3.093891182775648230e-01,2.044482666195470560e-02,3.166583857898375709e-01,3.065094857528880782e-03,3.138505975634401594e-03,4.513541986084165531e-04,3.161468591570985517e-03
6.080000000000000000e+02,6.607563670598415317e-01,2.773631587876149718e-01,1.935966212808564249e-02,2.841072103713254693e-01,3.043224154724874161e-03,2.991114633143531105e-03,4.354584477291426102e-04,3.026097386141248912e-03
6.100000000000000000e+02,6.391352866197703708e-01,2.510291487164338364e-01,1.849792175340583475e-02,2.573894914908434473e-01,2.846349128510038302e-03,2.865087937105103254e-03,4.291397378866106311e-04,2.907025480813943494e-03
6.120000000000000000e+02,6.222123600598840065e-01,2.288513076585301509e-01,1.781517516315775720e-02,2.353975727760298509e-01,2.890147375842355964e-03,2.797839619507036697e-03,4.247205209378796518e-04,2.823738342031735949e-03
6.140000000000000000e+02,6.086304793453879425e-01,2.097357841228874309e-01,1.722625868735520524e-02,2.167390802650441817e-01,2.940625091807788465e-03,2.703695678556885043e-03,4.216977057244145738e-04,2.747003865065828030e-03
6.160000000000000000e+02,5.956081578604131010e-01,1.925963523880270534e-01,1.679949395734020232e-02,1.997687823491852421e-01,2.860041791780901493e-03,2.615083426648095576e-03,4.219863748197091868e-04,2.645930189729264314e-03
6.180000000000000000e+02,5.770608925012276069e-01,1.756478275777985376e-01,1.632795937227027663e-02,1.824731695996864023e-01,2.713217437006626605e-03,2.470519315096208687e-03,4.131654878209100289e-04,2.507501341623620972e-03
6.200000000000000000e+02,5.548628859142631375e-01,1.593686505256729502e-01,1.594952591993310451e-02,1.657300429232879402e-01,2.700947326018525094e-03,2.346037842152359169e-03,4.079237445150955474e-04,2.385709274155287194e-03
6.220000000000000000e+02,5.328150091967359669e-01,1.448594825673170661e-01,1.565572208677759938e-02,1.510136519321199355e-01,2.620171619610101206e-03,2.233506524730007395e-03,4.154532420437992099e-04,2.244195997492664033e-03
6.240000000000000000e+02,5.145155121355248218e-01,1.329825344691505651e-01,1.559014611884070207e-02,1.393281815543601643e-01,2.507061411258329573e-03,2.102430227532721581e-03,4.113801439546728705e-04,2.115144726658150977e-03
6.260000000000000000e+02,4.963233139409200523e-01,1.229599232572201606e-01,1.548626943047787252e-02,1.295767275586167666e-01,2.412340183527468193e-03,1.994069682934583240e-03,4.124647935351380716e-04,2.024514309456476764e-03
6.280000000000000000e+02,4.811778583888747796e-01,1.151394715063245450e-01,1.557040058242207571e-02,1.218659692465897809e-01,2.372572512178357327e-03,1.915524238295973495e-03,4.172942790186334673e-04,1.952935426748660976e-03
6.300000000000000000e+02,4.642466859093037912e-01,1.080466497214654376e-01,1.565587867302478675e-02,1.145195898125736939e-01,2.310742367208250096e-03,1.841870143943318862e-03,4.193781181879270375e-04,1.871815028077481726e-03
6.320000000000000000e+02,4.483613126527790094e-01,1.015837795441301289e-01,1.580723031823267483e-02,1.078128065844508737e-01,3.010321451519807918e-03,2.425478621088687867e-03,5.574304267104870751e-04,2.484674654374466156e-03
6.340000000000000000e+02,4.274480113497685085e-01,9.412592722125671940e-02,1.583519367139224476e-02,1.001265281157550507e-01,2.908484073714027746e-03,2.285426642278487030e-03,5.605907263875205791e-04,2.316517443070334036e-03
6.380000000000000000e+02,3.900229670781995561e-01,8.132593912018121207e-02,1.624283791488622883e-02,8.740388638128228360e-02,2.919985355181403761e-03,2.069651880708340934e-03,5.715520393675785522e-04,2.113333602675164773e-03
6.400000000000000000e+02,3.717689502874023666e-01,7.588819619341524714e-02,1.647219491805755956e-02,8.201058629686498735e-02,2.941113803240994525e-03,1.978963494459051644e-03,5.653467306269750357e-04,2.022249903310026440e-03
6.420000000000000000e+02,3.525776424438784584e-01,7.084171992458299094e-02,1.662880104125244105e-02,7.678781254565991699e-02,2.817547733573909623e-03,1.869412158571765945e-03,5.659550015160341903e-04,1.888047415796021648e-03
6.440000000000000000e+02,3.356637223409067450e-01,6.647623799991177196e-02,1.675718832471865052e-02,7.217345469418605386e-02,2.597422644336729643e-03,1.779416553333668842e-03,5.638615875664421432e-04,1.804552445831338276e-03
6.460000000000000000e+02,3.161327707857997105e-01,6.172928246089803145e-02,1.681134961897957913e-02,6.699877882039570465e-02,2.500934497956925490e-03,1.671943568782774522e-03,5.598344177441259058e-04,1.697775350235019047e-03
